0.8257096935448757+0.*I	0.5436285229346872+0.*I	0.15057068452350783+0.*I
0.4003803589337113+0.7534740590906165*I	0.2623155640260471+0.4943950169496863*I	0.07976465575886299+0.15405877149171213*I
0.7600532422039744-0.3872991963658272*I	0.49799706866289173-0.2536458363257095*I	0.15683303695360548-0.08345187634100266*I
0.46434283536525917-0.7159566726613428*I	0.304686830710341-0.46970230442587524*I	0.09514777734410795-0.14514956564940856*I
0.6614250826507839-0.5392760412556171*I	0.43365385998398515-0.35394772644281225*I	0.1360613891105339-0.10873526282081947*I
0.8225132515295276+0.22642492917582563*I	0.5394968693346832+0.14872048453301603*I	0.17108123986786108+0.043693288095697586*I
-0.08334398735482562+0.849638929353998*I	-0.05423835583884526+0.5567976307319498*I	-0.01876436312064547+0.17368201438552794*I
-0.8390509053473612-0.1578159828604172*I	-0.5499606392253895-0.10301731868835542*I	-0.17180038999846214-0.031240897268488478*I
0.2860033802027149-0.8036614037538486*I	0.18788783877799645-0.5266757724892167*I	0.06302629877514632-0.16819364947576473*I
0.7921179141996153+0.31796748856402723*I	0.5189532684022136+0.20877713284797764*I	0.16300407956457583+0.0687814870898563*I
-0.10226020039459495+0.8465754991154587*I	-0.0667956427110401+0.5552136553844077*I	-0.02260747275231972+0.18027637096214535*I
-0.6908560791015844+0.5013176592109326*I	-0.45318752380794475+0.32848602545134575*I	-0.1441442767124527+0.10170814802915945*I
-0.7608239480511457+0.3869886280252392*I	-0.49898515341745847+0.2537738373653227*I	-0.158536288210673+0.07803260401837783*I
-0.34145493155956613+0.7819196099827775*I	-0.2234050674527624+0.5121855329062459*I	-0.07441161480147898+0.16631362249718054*I
0.8227755049917734+0.22821548404500497*I	0.5395598481104541+0.14946717537980792*I	0.1701600223946179+0.046532484414475966*I
-0.7486028967363966-0.40963004156425975*I	-0.4908272382949583-0.268705115160593*I	-0.15970062729881873-0.0835687250591917*I
0.6827223628530884-0.5116922199996603*I	0.4476566800057953-0.33555567013026516*I	0.14366299809957067-0.11138267959750882*I
0.8379660746116684-0.16235199894904778*I	0.5490845404222795-0.10680183389410676*I	0.17682433718904683-0.037723499637030596*I
0.09680180914239093-0.8487523348537575*I	0.06330365679115589-0.5556497284126996*I	0.018058511520059953-0.17734976202621192*I
-0.08748694319396164+0.849560485879689*I	-0.05773109311309835+0.5566664438387451*I	-0.020156769243957973+0.17720890140771658*I
-0.789353018669577+0.32450110971077983*I	-0.5172144534658735+0.2129826847682434*I	-0.16995760811109525+0.06646336134110432*I
-0.033840974512257135+0.8527792976133444*I	-0.02204636887050264+0.5582260367744569*I	-0.007649093136825002+0.18477192476270132*I
-0.28760049943025406-0.8034925548931826*I	-0.1879702672202927-0.5263402023661935*I	-0.06398385330291345-0.1732600828059591*I
-0.1121433743972077-0.8458679847923133*I	-0.07313753693758929-0.5543241613320313*I	-0.02616953552132762-0.1831342801673591*I
-0.4195010162985209+0.7430173014963115*I	-0.27518955794126626+0.4866626238267748*I	-0.09226240397247713+0.1611724232846387*I
-0.8465013627478577+0.11560104925542426*I	-0.5541777406523973+0.07533613295644549*I	-0.1791451685279989+0.022153257187459852*I
0.5280132144334465+0.6704766547679599*I	0.3461609890364206+0.43886994451012046*I	0.11628125164805218+0.14554286777047187*I
-0.27857171632947453+0.8073948675339098*I	-0.18244704385629928+0.5283107707548367*I	-0.056734313597124636+0.1747376005672909*I
0.7748477228738242-0.3585508967255878*I	0.5071867786988767-0.23442640383330782*I	0.16789744740302798-0.08039665255710292*I
0.854006938088081+0.020676757925919845*I	0.5590588405079345+0.013144212347063651*I	0.1827853151602755+0.007470380766144886*I
-0.8536810016961393+0.01431204633836021*I	-0.5586958786172525+0.00902999715050487*I	-0.18676031813681923+0.0005565280796704791*I
-0.6499753392021754+0.5547323343253896*I	-0.425387064715632+0.36279292143966896*I	-0.1407744583164533+0.11670693288825859*I
-0.49782182784386425-0.6931079650531508*I	-0.3262889110436027-0.45398612891314133*I	-0.10951537112118162-0.15342544196947738*I
-0.0728184030419411+0.8505218917910146*I	-0.047488181775896955+0.5571751802401084*I	-0.018905202782329204+0.18625452907230325*I
0.2492817745583018+0.8167738575917443*I	0.1628550533105214+0.5344118648850052*I	0.05757541586579547+0.17846113070871533*I
-0.8037204058911133+0.2878868685892944*I	-0.5257947661892517+0.18815297441934783*I	-0.17866702529140627+0.06333790166590969*I
0.8369943772014101-0.1680515921680971*I	0.548268058371301-0.109970379627663*I	0.1836467832573985-0.04005674619345261*I
-0.003132147829056957-0.8539853078522376*I	-0.0016179693280423645-0.5588911975185897*I	0.0026172770392909796-0.18794369594810054*I
0.0874094421176575-0.8495204126836486*I	0.05755905547885987-0.5562258225749878*I	0.022572954977886663-0.18606432546843077*I
0.8535763485870651-0.015974838532101576*I	0.5584156542745068-0.010834389344894817*I	0.19104994680722084-0.00405316149942669*I
-0.7467634167200277+0.4151926028276883*I	-0.48891984044790415+0.2720252026439064*I	-0.16281166349408072+0.08866219956392848*I
0.8520738047681191+0.06290514178581408*I	0.5579403027347799+0.04100943713043356*I	0.18570380236041534+0.0116052423403335*I
0.014753432597260842-0.854560047621355*I	0.009237698068428437-0.5590262033106422*I	0.0017207336632997826-0.18607345394721447*I
-0.6193682632402706-0.5887072865386596*I	-0.40486198462761996-0.38539961939921086*I	-0.13401014039581235-0.1312687270836436*I
-0.7034229122502494-0.48377920080368936*I	-0.46034798198724924-0.3161031799376117*I	-0.15949190299220628-0.10871622658786229*I
-0.4755196960336332-0.7099276949426124*I	-0.31130579684471016-0.46476789369853144*I	-0.10334348655484468-0.15598152887156347*I
0.16682335255215086-0.8373304454485886*I	0.10953770890123554-0.5478119042175627*I	0.03498987687081673-0.18940226048947045*I
0.8134558347312253-0.26004207050255185*I	0.5320464407969678-0.1696631952607607*I	0.18426475714512155-0.05564201708454*I
0.5251921863871362+0.674452305425814*I	0.3430898073020928+0.44100707951186485*I	0.11527047134445396+0.1488742500882518*I
-0.4708077334796951+0.7128561334558482*I	-0.3077287367254481+0.4658388347585348*I	-0.10318863007899759+0.16232797577926983*I
-0.8432004229441783-0.1347435568659734*I	-0.5510928569472858-0.08787463879039081*I	-0.1925039339747864-0.032475959170138215*I
-0.40020339349899625-0.7552254174885374*I	-0.2620361815315323-0.4935998304320021*I	-0.08804305154771787-0.16804475031238159*I
0.0801869682992181-0.8497738528203876*I	0.05234745618375994-0.5560790549144443*I	0.0166136762673569-0.19537160199506676*I
0.17793090958612287-0.8360203822816462*I	0.1167136555466052-0.5464163884440655*I	0.04014557592962938-0.18625428415680695*I
-0.21835303970514452-0.82555519636003*I	-0.1431713686844456-0.5396940803391014*I	-0.04699796222237061-0.18976544914890353*I
-0.845392869208272-0.11981357227851344*I	-0.5522939985355846-0.07850154346942437*I	-0.1955334955673085-0.029134165863892142*I
